id,label,group,level,shape,color,font.size,font.color,node_type,product_id
RM033,Potato Starch,Raw Material,5,box,NA,10,NA,BOM,P19
RM034,Edible Oil,Raw Material,5,box,NA,10,NA,BOM,P19
BM018,Fresh Potatoes,Base Material,7,box,NA,10,NA,BOM,P19
R022,Extruder B1,Resource,6,circle,#32CD32,10,black,Production,P19
R023,Fryer B1,Resource,4,circle,#32CD32,10,black,Production,P19
R024,Packaging Line B1,Resource,2,circle,#32CD32,10,black,Production,P19
P20,Moong Dal Namkeen 250gm,Product,1,box,#2E8B57,16,white,BOM,P20
PK002,Secondary Label,Packaging,3,box,NA,10,NA,BOM,P20
PK014,Snack Pouch,Packaging,3,box,NA,10,NA,BOM,P20
SF013,Moong Dal Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P20
RM032,Salt,Raw Material,5,box,NA,10,NA,BOM,P20
RM034,Edible Oil,Raw Material,5,box,NA,10,NA,BOM,P20
RM035,Split Moong Dal,Raw Material,5,box,NA,10,NA,BOM,P20
RM036,Cumin Powder,Raw Material,5,box,NA,10,NA,BOM,P20
BM019,Whole Moong Dal,Base Material,7,box,NA,10,NA,BOM,P20
R025,Preparation Unit C1,Resource,6,circle,#32CD32,10,black,Production,P20
R026,Fryer C1,Resource,4,circle,#32CD32,10,black,Production,P20
R027,Packaging Line C1,Resource,2,circle,#32CD32,10,black,Production,P20
P21,Masala Peanuts 500gm,Product,1,box,#2E8B57,16,white,BOM,P21
PK002,Secondary Label,Packaging,3,box,NA,10,NA,BOM,P21
PK015,Large Snack Pouch,Packaging,3,box,NA,10,NA,BOM,P21
SF011,Masala Peanut Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P21
RM007,Red Chili Powder,Raw Material,5,box,NA,10,NA,BOM,P21
RM030,Raw Peanuts,Raw Material,5,box,NA,10,NA,BOM,P21
RM031,Chickpea Flour,Raw Material,5,box,NA,10,NA,BOM,P21
RM032,Salt,Raw Material,5,box,NA,10,NA,BOM,P21
BM004,Fresh Red Chilies,Base Material,7,box,NA,10,NA,BOM,P21
BM017,Farm Peanuts,Base Material,7,box,NA,10,NA,BOM,P21
R019,Fryer A1,Resource,6,circle,#32CD32,10,black,Production,P21
R020,Seasoning Drum A1,Resource,4,circle,#32CD32,10,black,Production,P21
R021,Packaging Line A1,Resource,2,circle,#32CD32,10,black,Production,P21
P22,Sev 250gm,Product,1,box,#2E8B57,16,white,BOM,P22
PK002,Secondary Label,Packaging,3,box,NA,10,NA,BOM,P22
PK014,Snack Pouch,Packaging,3,box,NA,10,NA,BOM,P22
SF014,Sev Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P22
RM031,Chickpea Flour,Raw Material,5,box,NA,10,NA,BOM,P22
RM032,Salt,Raw Material,5,box,NA,10,NA,BOM,P22
RM034,Edible Oil,Raw Material,5,box,NA,10,NA,BOM,P22
RM037,Ajwain,Raw Material,5,box,NA,10,NA,BOM,P22
BM020,Fresh Ajwain Seeds,Base Material,7,box,NA,10,NA,BOM,P22
R022,Extruder B1,Resource,6,circle,#32CD32,10,black,Production,P22
R023,Fryer B1,Resource,4,circle,#32CD32,10,black,Production,P22
R024,Packaging Line B1,Resource,2,circle,#32CD32,10,black,Production,P22
P23,Sev 500gm,Product,1,box,#2E8B57,16,white,BOM,P23
PK002,Secondary Label,Packaging,3,box,NA,10,NA,BOM,P23
PK015,Large Snack Pouch,Packaging,3,box,NA,10,NA,BOM,P23
SF014,Sev Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P23
RM031,Chickpea Flour,Raw Material,5,box,NA,10,NA,BOM,P23
RM032,Salt,Raw Material,5,box,NA,10,NA,BOM,P23
RM034,Edible Oil,Raw Material,5,box,NA,10,NA,BOM,P23
RM037,Ajwain,Raw Material,5,box,NA,10,NA,BOM,P23
BM020,Fresh Ajwain Seeds,Base Material,7,box,NA,10,NA,BOM,P23
R022,Extruder B1,Resource,6,circle,#32CD32,10,black,Production,P23
R023,Fryer B1,Resource,4,circle,#32CD32,10,black,Production,P23
R024,Packaging Line B1,Resource,2,circle,#32CD32,10,black,Production,P23
P24,Dosa Mix 500gm,Product,1,box,#2E8B57,16,white,BOM,P24
PK016,Mix Packet,Packaging,3,box,NA,10,NA,BOM,P24
PK017,Recipe Card,Packaging,3,box,NA,10,NA,BOM,P24
SF015,Dosa Powder Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P24
RM032,Salt,Raw Material,5,box,NA,10,NA,BOM,P24
RM038,Rice Flour,Raw Material,5,box,NA,10,NA,BOM,P24
RM039,Urad Dal Flour,Raw Material,5,box,NA,10,NA,BOM,P24
RM040,Fenugreek Powder,Raw Material,5,box,NA,10,NA,BOM,P24
BM021,Parboiled Rice,Base Material,7,box,NA,10,NA,BOM,P24
R028,Mixer A1,Resource,6,circle,#32CD32,10,black,Production,P24
R029,Sieving Machine A1,Resource,4,circle,#32CD32,10,black,Production,P24
R030,Packaging Line A1,Resource,2,circle,#32CD32,10,black,Production,P24
P25,Dosa Mix 1kg,Product,1,box,#2E8B57,16,white,BOM,P25
PK017,Recipe Card,Packaging,3,box,NA,10,NA,BOM,P25
PK018,Large Mix Packet,Packaging,3,box,NA,10,NA,BOM,P25
SF015,Dosa Powder Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P25
RM032,Salt,Raw Material,5,box,NA,10,NA,BOM,P25
RM038,Rice Flour,Raw Material,5,box,NA,10,NA,BOM,P25
RM039,Urad Dal Flour,Raw Material,5,box,NA,10,NA,BOM,P25
RM040,Fenugreek Powder,Raw Material,5,box,NA,10,NA,BOM,P25
BM021,Parboiled Rice,Base Material,7,box,NA,10,NA,BOM,P25
R028,Mixer A1,Resource,6,circle,#32CD32,10,black,Production,P25
R029,Sieving Machine A1,Resource,4,circle,#32CD32,10,black,Production,P25
R030,Packaging Line A1,Resource,2,circle,#32CD32,10,black,Production,P25
P26,Chili Pickle 500gm,Product,1,box,#2E8B57,16,white,BOM,P26
PK019,Pickle Jar,Packaging,3,box,NA,10,NA,BOM,P26
PK020,Jar Label,Packaging,3,box,NA,10,NA,BOM,P26
SF016,Chili Pickle Base,Semi-finished,3,ellipse,NA,10,NA,BOM,P26
RM032,Salt,Raw Material,6,box,NA,10,NA,BOM,P26
RM041,Green Chilies,Raw Material,6,box,NA,10,NA,BOM,P26
RM042,Mustard Oil,Raw Material,6,box,NA,10,NA,BOM,P26
RM043,Mustard Seeds,Raw Material,6,box,NA,10,NA,BOM,P26
R031,Preparation Unit B1,Resource,5,circle,#32CD32,10,black,Production,P26
R032,Fermentation Tank B1,Resource,4,circle,#32CD32,10,black,Production,P26
R033,Jar Filling Line B1,Resource,2,circle,#32CD32,10,black,Production,P26
P27,Mixed Veg Pickle 500gm,Product,1,box,#2E8B57,16,white,BOM,P27
PK019,Pickle Jar,Packaging,3,box,NA,10,NA,BOM,P27
PK020,Jar Label,Packaging,3,box,NA,10,NA,BOM,P27
SF017,Mixed Veg Pickle Base,Semi-finished,3,ellipse,NA,10,NA,BOM,P27
RM032,Salt,Raw Material,6,box,NA,10,NA,BOM,P27
RM042,Mustard Oil,Raw Material,6,box,NA,10,NA,BOM,P27
RM044,Mixed Vegetables,Raw Material,6,box,NA,10,NA,BOM,P27
RM045,Pickle Masala,Raw Material,6,box,NA,10,NA,BOM,P27
R031,Preparation Unit B1,Resource,5,circle,#32CD32,10,black,Production,P27
R032,Fermentation Tank B1,Resource,4,circle,#32CD32,10,black,Production,P27
R033,Jar Filling Line B1,Resource,2,circle,#32CD32,10,black,Production,P27
P28,Plain Papad 250gm,Product,1,box,#2E8B57,16,white,BOM,P28
PK002,Secondary Label,Packaging,3,box,NA,10,NA,BOM,P28
PK021,Papad Pack,Packaging,3,box,NA,10,NA,BOM,P28
SF018,Papad Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P28
RM032,Salt,Raw Material,6,box,NA,10,NA,BOM,P28
RM046,Urad Dal Flour,Raw Material,6,box,NA,10,NA,BOM,P28
RM047,Black Pepper Powder,Raw Material,6,box,NA,10,NA,BOM,P28
R034,Dough Mixer C1,Resource,5,circle,#32CD32,10,black,Production,P28
R035,Drying Unit C1,Resource,4,circle,#32CD32,10,black,Production,P28
R036,Packaging Line C1,Resource,2,circle,#32CD32,10,black,Production,P28
P29,Ragi Flakes 500gm,Product,1,box,#2E8B57,16,white,BOM,P29
PK022,Cereal Box,Packaging,3,box,NA,10,NA,BOM,P29
PK023,Nutrition Label,Packaging,3,box,NA,10,NA,BOM,P29
SF019,Ragi Flakes Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P29
RM048,Ragi Grains,Raw Material,6,box,NA,10,NA,BOM,P29
RM049,Natural Sweetener,Raw Material,6,box,NA,10,NA,BOM,P29
RM050,Vitamin Mix,Raw Material,6,box,NA,10,NA,BOM,P29
R037,Flaking Machine C2,Resource,5,circle,#32CD32,10,black,Production,P29
R038,Fortification Unit C2,Resource,4,circle,#32CD32,10,black,Production,P29
R039,Cereal Packaging C2,Resource,2,circle,#32CD32,10,black,Production,P29
P30,Makhana 250gm,Product,1,box,#2E8B57,16,white,BOM,P30
PK023,Nutrition Label,Packaging,3,box,NA,10,NA,BOM,P30
PK024,Premium Snack Pack,Packaging,3,box,NA,10,NA,BOM,P30
SF020,Roasted Makhana,Semi-finished,3,ellipse,NA,10,NA,BOM,P30
RM051,Raw Makhana,Raw Material,6,box,NA,10,NA,BOM,P30
RM052,Rock Salt,Raw Material,6,box,NA,10,NA,BOM,P30
RM053,Natural Flavoring,Raw Material,6,box,NA,10,NA,BOM,P30
R040,Roasting Unit C3,Resource,5,circle,#32CD32,10,black,Production,P30
R041,Seasoning Unit C3,Resource,4,circle,#32CD32,10,black,Production,P30
R042,Premium Packaging C3,Resource,2,circle,#32CD32,10,black,Production,P30
